movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt2380307,Coco,"Aspiring musician Miguel, confronted with his family''s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,Animation | Adventure | Family,1h 45min,"English, Spanish",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",/title/tt2380307/,tt2380307.jpg,Rvr68u6k5sI
tt0112573,Braveheart,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",1995,Biography | Drama | History,2h 58min,"English, French, Latin, Scottish Gaelic, Italian",Mel Gibson,"Mel Gibson, Sophie Marceau",/title/tt0112573/,tt0112573.jpg,1NJO0jxBtMo
tt0082096,Das Boot,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",1981,Adventure | Drama | Thriller,2h 29min,German,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",/title/tt0082096/,tt0082096.jpg,7pzKyeIex2Y
tt1187043,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,Comedy | Drama,2h 50min,"Hindi, English",Rajkumar Hirani,"Aamir Khan, Madhavan",/title/tt1187043/,tt1187043.jpg,K0eDlFX9GMc
tt0114709,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy''s room.,1995,Animation | Adventure | Comedy,1h 21min,English,John Lasseter,"Tom Hanks, Tim Allen",/title/tt0114709/,tt0114709.jpg,wmiIUN-7qhE
tt0986264,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2007,Drama | Family,2h 45min,"Hindi, English",Aamir Khan,"Darsheel Safary, Aamir Khan",/title/tt0986264/,tt0986264.jpg,tn_2Ie_jtX8
tt0086190,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor''s trap.",1983,Action | Adventure | Fantasy,2h 11min,English,Richard Marquand,"Mark Hamill, Harrison Ford",/title/tt0086190/,tt0086190.jpg,7L8p7_SLzvU
tt0086879,Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart''s talent and claimed to have murdered him.",1984,Biography | Drama | History,2h 40min,"English, Italian, Latin, German",Milos Forman,"F. Murray Abraham, Tom Hulce",/title/tt0086879/,tt0086879.jpg,r7kWQj9FCGY
tt0105236,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,Crime | Drama | Thriller,1h 39min,English,Quentin Tarantino,"Harvey Keitel, Tim Roth",/title/tt0105236/,tt0105236.jpg,vayksn4Y93A
tt0361748,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner''s vengeful plans for the same.",2009,Adventure | Drama | War,2h 33min,"English, German, French, Italian",Quentin Tarantino,"Brad Pitt, Diane Kruger",/title/tt0361748/,tt0361748.jpg,KnrRy6kSFF0
tt0119217,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,Drama | Romance,2h 6min,English,Gus Van Sant,"Robin Williams, Matt Damon",/title/tt0119217/,tt0119217.jpg,PaZVjZEFkRs
tt0062622,2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",1968,Adventure | Sci-Fi,2h 29min,"English, Russian",Stanley Kubrick,"Keir Dullea, Gary Lockwood",/title/tt0062622/,tt0062622.jpg,oR_e9y-bka0
tt0180093,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,Drama,1h 42min,English,Darren Aronofsky,"Ellen Burstyn, Jared Leto",/title/tt0180093/,tt0180093.jpg,jzk-lmU4KZ4
tt0052357,Vertigo,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,1958,Mystery | Romance | Thriller,2h 8min,English,Alfred Hitchcock,"James Stewart, Kim Novak",/title/tt0052357/,tt0052357.jpg,Z5jvQwwHQNY
tt0022100,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931,Crime | Mystery | Thriller,1h 57min,German,Fritz Lang,"Peter Lorre, Ellen Widmann",/title/tt0022100/,tt0022100.jpg,OYEc7ZpHcdQ
tt5074352,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2016,Action | Biography | Drama,2h 41min,"Hindi, Tamil, Telugu",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",/title/tt5074352/,tt5074352.jpg,x_7YlGv9u1g
tt0338013,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2004,Drama | Romance | Sci-Fi,1h 48min,English,Michel Gondry,"Jim Carrey, Kate Winslet",/title/tt0338013/,tt0338013.jpg,07-QBnEkgXU
